,CGLSE,Uni
0.1,0.002280769,0.000470262
0.1,0.001966878,0.000568333
0.1,0.002128665,0.00078156
0.1,0.001937903,0.000174666
0.1,0.000760081,0.034930671
0.1,0.001970036,0.000505029
0.1,0.002039328,0.101291188
0.1,0.005025088,0.036845331
0.1,0.001916832,0.008799074
0.1,0.002791317,0.011367397
0.1,0.034103758,0.090333313
0.1,0.002204644,0.000531652
0.1,0.002264237,0.000776647
0.1,0.001872393,0.022643003
0.1,0.002847032,0.009835126
0.1,0.013066459,0.047323292
0.1,0.00256456,0.004841688
0.1,0.001751498,0.005486524
0.1,0.008606604,0.038474919
0.1,0.001770864,1.95E-05
0.1,0.002510507,0.000519211
0.1,0.003334182,0.01116412
0.1,0.00203269,0.000423051
0.1,0.002337395,1.26E-05
0.1,0.00205844,0.01770666
0.1,0.003316183,0.021189559
0.1,0.002448976,0.001932564
0.1,0.00168183,0.002200455
0.1,0.001634587,0.00089826
0.1,0.005514884,0.01742891
0.1,0.000876891,0.008195424
0.1,0.002473237,0.000794127
0.1,0.001703709,0.001741537
0.1,0.003581837,0.012641753
0.1,0.002416646,0.001785188
0.1,0.001947732,0.00028542
0.1,0.002463804,0.000505277
0.1,0.001618149,0.000832076
0.1,0.002861543,0.006382244
0.1,0.010817131,0.042627149
0.1,2.85E-06,0.003729681
0.1,0.001758465,0.000761717
0.1,0.000295522,0.00422944
0.1,0.000539525,0.00965794
0.1,0.002065236,0.000635311
0.1,0.011432985,0.035313389
0.1,0.011076094,0.035115344
0.1,0.003585116,0.015486053
0.1,0.002396769,0.001082505
0.1,0.002313317,0.000907735
0.1,0.001917584,0.017866964
0.1,0.030379583,0.080419395
0.1,0.003263668,0.005211482
0.1,0.004310921,0.017906593
0.1,0.002041655,0.000352982
0.1,0.017994929,0.055136299
0.1,0.000912012,0.0023927
0.1,0.0020622,0.000514973
0.1,0.002882855,0.007174247
0.1,0.000409458,0.017118991
0.1,0.001609142,0.006695432
0.1,0.002643068,9.88E-05
0.1,0.000829402,0.018857443
0.1,0.001003104,0.003956571
0.1,0.000142284,0.078002472
0.1,0.00362236,0.040835289
0.1,0.00204223,8.10E-06
0.1,0.005022005,0.021636156
0.1,0.000304802,0.008817704
0.1,0.000629976,0.001825379
0.1,0.002177348,5.00E-05
0.1,0.002641981,0.001417524
0.1,0.002465939,0.002528525
0.1,0.002251286,1.77E-05
0.1,0.001780225,0.004849879
0.1,0.017775264,0.049832842
0.1,8.07E-05,0.004129083
0.1,0.002826767,0.030730794
0.1,0.001653232,0.010419506
0.1,0.053595606,0.162247674
0.1,0.002264389,0.005756218
0.1,0.002050033,0.000199421
0.1,0.028628092,0.075483626
0.1,0.003175036,0.01484993
0.1,0.001839309,9.89E-05
0.1,0.00784504,0.059845478
0.1,0.000901757,0.003856689
0.1,0.002207487,0.000260493
0.1,0.005485518,0.018384318
0.1,0.001493877,0.000534867
0.1,0.002368676,9.87E-05
0.1,0.002485257,0.000992527
0.1,0.000448459,0.004021879
0.1,0.002527746,0.002403643
0.1,0.001521452,0.001190701
0.1,0.001772082,0.001704251
0.1,0.010071234,0.044114553
0.1,0.00028434,0.004877503
0.1,0.002383187,0.000133374
0.1,0.018578125,0.054762469
0.2,0.01812356,0.002569378
0.2,0.018525151,0.001074572
0.2,0.018416409,0.000943246
0.2,0.018230586,0.001092616
0.2,0.013161825,0.055468506
0.2,0.018593069,0.001154488
0.2,0.003370702,0.123874091
0.2,0.020172039,0.029791759
0.2,0.009064946,0.003677972
0.2,0.016629399,0.011325541
0.2,0.026370854,0.070153208
0.2,0.01853553,0.001018718
0.2,0.016948412,0.003947532
0.2,0.015765494,0.002697561
0.2,0.009071512,0.00759659
0.2,0.018111326,0.008508341
0.2,0.017961642,0.005128955
0.2,0.016123729,0.002739669
0.2,0.014714242,0.002189433
0.2,0.019844637,9.75E-05
0.2,0.018094508,7.54E-05
0.2,0.016509137,0.01845173
0.2,0.018337675,0.000541444
0.2,0.018593679,0.000255364
0.2,0.016962225,0.018437606
0.2,0.010471658,0.021790785
0.2,0.018421004,0.002065066
0.2,0.018246572,0.003025212
0.2,0.017421647,0.001387278
0.2,0.01613761,0.007554087
0.2,0.011446298,0.008699666
0.2,0.018175541,0.000150424
0.2,0.018109338,0.00054175
0.2,0.01470713,0.015849401
0.2,0.018324232,0.001708936
0.2,0.018780771,7.03E-05
0.2,0.016690274,0.002123386
0.2,0.019160694,0.000781121
0.2,0.016824739,0.005072163
0.2,0.015293986,0.002106465
0.2,0.014187494,0.003913912
0.2,0.017508521,0.001112216
0.2,0.015801501,0.002930005
0.2,0.012792012,0.008011606
0.2,0.018817439,0.000639541
0.2,0.017505214,0.020247217
0.2,0.017818645,0.01271962
0.2,0.016339996,0.007359125
0.2,0.017956658,0.001843613
0.2,0.018005051,0.000202337
0.2,0.008912107,0.017300469
0.2,0.021071685,0.05517704
0.2,0.016105771,0.004599991
0.2,0.017420529,0.008062123
0.2,0.018304154,0.000910294
0.2,0.020297659,0.025261687
0.2,0.015732576,0.002554623
0.2,0.018318699,0.000572569
0.2,0.017426797,0.009534351
0.2,0.015382841,0.019364596
0.2,0.010296898,0.00331581
0.2,0.017574741,4.94E-05
0.2,0.015484467,0.00069066
0.2,0.014449992,0.005135993
0.2,0.00471245,0.096411956
0.2,0.011417167,0.000176597
0.2,0.018809769,0.000642251
0.2,0.016438444,0.01625026
0.2,0.013795771,0.006324205
0.2,0.015761811,0.003302926
0.2,0.018897594,0.000199296
0.2,0.017947225,0.001644351
0.2,0.016658268,0.003260414
0.2,0.018572442,0.000751106
0.2,0.019390069,0.00440571
0.2,0.017625606,0.028920373
0.2,0.016832257,0.000660541
0.2,0.011122146,0.020920224
0.2,0.010137171,0.00948501
