,CGLSE (Gaussian),Uni (Gaussian),CGLSE (Cauchy),Uni (Cauchy)
0.1,0.000843986,0.006699607,0.000381347,0.712083002
0.1,0.000666214,0.001228004,0.000149946,0.740998603
0.1,0.002081667,0.011626673,0.000158663,0.723847547
0.1,0.000373923,0.000359761,0.000940715,0.783492391
0.1,3.06E-05,0.015319561,0.000540625,0.703506011
0.1,0.003902323,0.007169879,0.000304045,0.749083922
0.1,0.000391726,0.000620795,0.000324,0.750222305
0.1,0.001712162,0.004981177,0.000443102,0.708798452
0.1,0.000343685,0.00200499,0.00070263,0.770605137
0.1,0.00082763,0.006143766,0.000442915,0.708504398
0.1,0.002281096,0.004056503,0.001080097,0.791301866
0.1,0.000507328,0.006713882,7.38E-05,0.728696567
0.1,0.001068312,0.003416407,0.000199289,0.72201572
0.1,0.001852357,0.00387797,0.000732983,0.77285302
0.1,0.000593112,0.001033207,0.000633494,0.767254613
0.1,0.000776346,0.000745393,0.000294497,0.716857183
0.1,0.003355627,0.003548002,0.000133597,0.739295274
0.1,0.001128292,0.006815026,0.000496528,0.759585126
0.1,0.002856916,0.003100648,0.000875971,0.779796376
0.1,0.00038843,0.007383486,0.000309496,0.715958367
0.1,5.53E-05,0.004294619,0.001000668,0.786932099
0.1,0.001958684,0.007583951,0.000455932,0.707927936
0.1,0.001327476,0.009475149,0.000280662,0.71716039
0.1,0.000483425,0.011501103,0.000768233,0.774185592
0.1,0.000378409,0.009594616,0.000114557,0.738882896
0.1,0.001147907,0.006586281,0.000484799,0.706692095
0.1,0.003618689,0.002469663,0.000105421,0.737813443
0.1,0.004659383,0.005708096,0.00097915,0.786097236
0.1,8.43E-05,0.003303748,0.000351217,0.751685894
0.1,0.004043588,0.010906513,0.000266643,0.746715607
0.1,0.002226584,0.005660273,0.000375351,0.753136465
0.1,0.000941267,0.012691012,0.000471442,0.707188332
0.1,0.000524815,0.002487054,0.00029113,0.716892847
0.1,0.000302759,0.001099203,0.00070795,0.770917454
0.1,0.001279162,0.004283091,0.000537227,0.703681402
0.1,0.0017227,0.00962576,8.07E-05,0.737384927
0.1,0.000522891,0.00884626,4.20E-05,0.734540514
0.1,0.000685376,0.010371348,0.000937774,0.783255503
0.1,0.003046966,0.009795525,0.000509666,0.704776853
0.1,0.005098761,0.002175383,0.000768016,0.7743487
0.1,0.000443977,0.001111901,0.001081979,0.791231601
0.1,0.000724523,0.002365809,0.000938685,0.783194431
0.1,7.53E-05,0.004352878,0.000474126,0.758655616
0.1,0.003132071,0.002847681,0.001065187,0.789985822
0.1,0.002695476,0.009913336,0.000168462,0.741859857
0.1,0.001362669,0.007062368,0.000534292,0.761713856
0.1,0.000509141,0.008111204,0.000899717,0.78132832
0.1,0.000716112,0.008240238,3.47E-05,0.730152961
0.1,0.002847866,0.006647712,0.000505075,0.705184325
